termo,frequencia,musicas
abacaxi,1,Lamento do Marginal Bem Sucedido
sentem,2,"Lamento do Marginal Bem Sucedido, Sujeito de Sorte, Tambor Tantã"
marginal,2,"Lamento do Marginal Bem Sucedido, Meu Nome é Cem"
sucedido,1,Lamento do Marginal Bem Sucedido
renegado,1,"Arte Final, Lamento do Marginal Bem Sucedido"
dose,1,Lamento do Marginal Bem Sucedido
artigo,1,Lamento do Marginal Bem Sucedido
cairia,1,Lamento do Marginal Bem Sucedido
lançado,1,Lamento do Marginal Bem Sucedido
cartaz,1,Lamento do Marginal Bem Sucedido
vira-lata,1,Lamento do Marginal Bem Sucedido
mercado,1,"Arte Final, Beijo Molhado, Dandy, Lamento do Marginal Bem Sucedido"
pata,1,Lamento do Marginal Bem Sucedido
esmagada,1,Lamento do Marginal Bem Sucedido
amarelo,1,Lamento do Marginal Bem Sucedido
conversa,1,"Apenas Um Rapaz Latino Americano, Lamento do Marginal Bem Sucedido, Não Leve Flores"
mole,1,Lamento do Marginal Bem Sucedido
inocência,3,"Lamento do Marginal Bem Sucedido, Retórica Sentimental, Se Você Tivesse Aparecido"
pureza,1,Lamento do Marginal Bem Sucedido
tédio,1,Lamento do Marginal Bem Sucedido
diria,1,Lamento do Marginal Bem Sucedido
ontem,3,"Lamento do Marginal Bem Sucedido, Rock Romance de Um Robô Goliardo, Tudo Outra Vez, Ypê"
senti,1,"Amor de Perdição, Como Se Fosse Pecado, La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Num País Feliz, Objeto Direto, Todo Sujo de Batom"
arrasado,1,Lamento do Marginal Bem Sucedido
chamando,2,"Lamento do Marginal Bem Sucedido, Rock Romance de Um Robô Goliardo"
bandido,3,"Amor e Crime, Como Se Fosse Pecado, Lamento do Marginal Bem Sucedido, Meu Nome é Cem, Se Você Tivesse Aparecido"
canalha,1,Lamento do Marginal Bem Sucedido
indecente,2,"Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro"
transviado,2,"Lamento do Marginal Bem Sucedido, Rock Romance de Um Robô Goliardo"
machão,1,Lamento do Marginal Bem Sucedido
viram,1,Lamento do Marginal Bem Sucedido
põem,1,"E Que Tudo Mais Vá Para o Céu, Lamento do Marginal Bem Sucedido"
horror,1,"Apenas Um Rapaz Latino Americano, Lamento do Marginal Bem Sucedido"
conversação,1,Lamento do Marginal Bem Sucedido
marginais,1,Lamento do Marginal Bem Sucedido
devastada,1,Lamento do Marginal Bem Sucedido
cabral,1,Lamento do Marginal Bem Sucedido
guardo-lhe,1,Lamento do Marginal Bem Sucedido
masculino,1,Lamento do Marginal Bem Sucedido
raro,2,"Lamento do Marginal Bem Sucedido, Sensual"
fino,1,Lamento do Marginal Bem Sucedido
trovador,1,Lamento do Marginal Bem Sucedido
eletrônico,2,"Lamento do Marginal Bem Sucedido, Rock Romance de Um Robô Goliardo"
ciberneticamente,1,Lamento do Marginal Bem Sucedido
amasso,2,Lamento do Marginal Bem Sucedido
need,1,Lamento do Marginal Bem Sucedido
apertado-,1,Lamento do Marginal Bem Sucedido
bob,1,Lira dos Vinte Anos
dylan,1,Lira dos Vinte Anos
clientes,1,Lira dos Vinte Anos
coca-cola,1,Lira dos Vinte Anos
fugimos,1,Lira dos Vinte Anos
voltamos,1,Lira dos Vinte Anos
brasa,1,Lira dos Vinte Anos
daí,1,Lira dos Vinte Anos
money,3,"Lira dos Vinte Anos, Todo Sujo de Batom"
entra,1,"Amor de Perdição, Arte Final, Bel Prazer, Kitsch Metropolitanus, Lira dos Vinte Anos, Meu Cordial Brasileiro, Notícia de Terra Civilizada, Pequeno Mapa do Tempo, Recitanda, Rock Romance de Um Robô Goliardo, Tambor Tantã"
arrasa,1,"Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos"
bola,1,Lira dos Vinte Anos
acontecer,3,"Lira dos Vinte Anos, Nada Como Viver, Não Leve Flores, Se Você Tivesse Aparecido"
coração-lobo,1,Lira dos Vinte Anos
aguenta,1,Lira dos Vinte Anos
andarmos,1,Lira dos Vinte Anos
apressados,1,Lira dos Vinte Anos
atrasados,1,Lira dos Vinte Anos
cinquenta,1,Lira dos Vinte Anos
aprova,1,Lira dos Vinte Anos
tampouco,1,Lira dos Vinte Anos
aprovo,1,Lira dos Vinte Anos
veias,1,Lira dos Vinte Anos
nervos,1,"Lira dos Vinte Anos, Medo de Avião"
aço,1,"Aguapé, Baihuno, Como Nossos Pais, Divina Comédia Humana, Espacial, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lira dos Vinte Anos, Não Leve Flores, Paralelas, Tocando Por Música, Voz da América"
ê,1,"A Palo Seco, Aguapé, Alucinação, Apenas Um Rapaz Latino Americano, Arte Final, Baihuno, Balada de Madame Frigidaire, Balada do Amor, Beijo Molhado, Brasileiramente Linda, Brotinho de Bambu, Canção de Gesta de Um Trovador Eletrônico, Carisma, Caso Comum de Trânsito, Clamor No Deserto, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Cuidar do Homem, De Primeira Grandeza, Divina Comédia Humana, Do Mar, do Céu, do Campo, E Que Tudo Mais Vá Para o Céu, Elegia Obscena, Em Resposta à Carta de Fã, Extra Cool, Fotografia 3X4, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Máquina II, Medo de Avião, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Mote e Glosa, Mucuripe, Não Leve Flores, Num País Feliz, Objeto Direto, Os Derradeiros Moicanos, Pequeno Perfil de Um Cidadão Comum, Ploft, Quinhentos Anos de Quê?, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Se Você Tivesse Aparecido, Seixo Rolado, Sensual, Tambor Tantã, Tudo Outra Vez, Voz da América, Ypê"
mê,1,"Beijo Molhado, Como Se Fosse Pecado, Do Mar, do Céu, do Campo, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lira dos Vinte Anos, Máquina II, Mucuripe"
q,8,"A Palo Seco, Aguapé, Alucinação, Amor de Perdição, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Até Amanhã, Ate Mais Ver, Baihuno, Balada de Madame Frigidaire, Balada do Amor, Beijo Molhado, Bel Prazer, Bossa Em Palavrões, Brasileiramente Linda, Brincando Com a Vida, Brotinho de Bambu, Canção de Gesta de Um Trovador Eletrônico, Carisma, Caso Comum de Trânsito, Clamor No Deserto, Comentários a Respeito de John, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Corpos Terrestres, Cuidar do Homem, Dandy, De Primeira Grandeza, Depois Das Seis, Divina Comédia Humana, Do Mar, do Céu, do Campo, E Que Tudo Mais Vá Para o Céu, Elegia Obscena, Em Resposta à Carta de Fã, Espacial, Extra Cool, Fotografia 3X4, Galos, Noites e Quintais, Humano Hum, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Máquina II, Medo de Avião, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Mote e Glosa, Mucuripe, Na Hora do Almoço, Nada Como Viver, Não Leve Flores, No Maior Jazz, Notícia de Terra Civilizada, Num País Feliz, Objeto Direto, Ondas Tropicais, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Os Profissionais, Paraíso, Paraíso (1982), Paralelas, Pequeno Mapa do Tempo, Pequeno Perfil de Um Cidadão Comum, Ploft, Populus, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Se Você Tivesse Aparecido, Seixo Rolado, Senhoras do Amazonas, Sensual, Sujeito de Sorte, Tambor Tantã, Tocando Por Música, Todo Sujo de Batom, Tudo Outra Vez, Viva La Dolcezza, Voz da América, Ypê"
segurei,3,Medo de Avião
conhaque,1,Medo de Avião
cetim,1,Medo de Avião
james,1,Medo de Avião
dean,1,Medo de Avião
fico,2,"Caso Comum de Trânsito, Fotografia 3X4, Jornal Blues (Canção Leve de Escárnio e Maldizer), Medo de Avião, Paralelas"
nervoso,1,Medo de Avião
grita,1,Medo de Avião
aeromoça,1,Medo de Avião
sexy,1,Medo de Avião
beatle,3,Medo de Avião
wan,3,Medo de Avião
hold,3,Medo de Avião
hand,3,"Brincando Com a Vida, Canção de Gesta de Um Trovador Eletrônico, Fotografia 3X4, Medo de Avião, Rock Romance de Um Robô Goliardo"
yeeeh,1,Medo de Avião
cordial,1,Meu Cordial Brasileiro
sujeito,4,"Meu Cordial Brasileiro, Sujeito de Sorte"
contente,2,"A Palo Seco, Meu Cordial Brasileiro, Nada Como Viver"
sorri,1,"Bossa Em Palavrões, E Que Tudo Mais Vá Para o Céu, Espacial, Fotografia 3X4, Meu Cordial Brasileiro, Mucuripe"
dente,1,"Baihuno, Espacial, Meu Cordial Brasileiro, Nada Como Viver, Populus, Seixo Rolado"
leito,1,"Elegia Obscena, Meu Cordial Brasileiro"
sulamericanamente,1,Meu Cordial Brasileiro
senhor,7,"Arte Final, Balada de Madame Frigidaire, Brasileiramente Linda, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil, No Maior Jazz, Onde Jazz Meu Coração?, Pequeno Perfil de Um Cidadão Comum, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, S.A., Senhoras do Amazonas"
perdoa,1,Meu Cordial Brasileiro
esportiva,2,"Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil"
drome,1,Meu Cordial Brasileiro
consente,1,Meu Cordial Brasileiro
cala,2,"Meu Cordial Brasileiro, Na Hora do Almoço"
brilhar,2,"Meu Cordial Brasileiro, Os Derradeiros Moicanos"
com/contra,2,Meu Cordial Brasileiro
dedo,3,"Balada do Amor, Meu Cordial Brasileiro, Sensual"
mandando,2,Meu Cordial Brasileiro
calar,2,Meu Cordial Brasileiro
grama,2,"Meu Cordial Brasileiro, Viva La Dolcezza"
pisar,1,"Meu Cordial Brasileiro, Viva La Dolcezza"
saiu,3,"Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil"
assum,2,"Meu Cordial Brasileiro, Onde Jazz Meu Coração?"
atrasar,2,"Meu Cordial Brasileiro, Recitanda"
proibida,2,"Meu Cordial Brasileiro, Recitanda"
entrada,2,"Meu Cordial Brasileiro, Recitanda"
nativo,1,Meu Cordial Brasileiro
simplesmente,1,Meu Cordial Brasileiro
legião,1,Meu Nome é Cem
cidadão,2,"Jornal Blues (Canção Leve de Escárnio e Maldizer), Meu Nome é Cem, Pequeno Perfil de Um Cidadão Comum"
cem,2,"Caso Comum de Trânsito, Meu Nome é Cem, Os Profissionais, Paralelas"
dorme,2,"Meu Nome é Cem, Monólogo das Grandezas do Brasil"
calçada,1,Meu Nome é Cem
dizem,2,Meu Nome é Cem
madrugada,2,Meu Nome é Cem
anônimo,1,Meu Nome é Cem
fatal,1,Meu Nome é Cem
obriga,1,"Balada de Madame Frigidaire, Em Resposta à Carta de Fã, Jornal Blues (Canção Leve de Escárnio e Maldizer), Meu Nome é Cem"
normal,1,"Meu Nome é Cem, Tudo Outra Vez"
comovido,1,Meu Nome é Cem
tranquilo,1,Meu Nome é Cem
deserto,3,"Meu Nome é Cem, Na Hora do Almoço, No Maior Jazz"
sabe/todo,1,Monólogo das Grandezas do Brasil
ralé,1,Monólogo das Grandezas do Brasil
bebe,1,"Kitsch Metropolitanus, Monólogo das Grandezas do Brasil, Tambor Tantã"
esquecer,2,"Monólogo das Grandezas do Brasil, Tudo Outra Vez"
fraca,1,Monólogo das Grandezas do Brasil
víl,1,Monólogo das Grandezas do Brasil
humilhada,1,Monólogo das Grandezas do Brasil
ofendida,1,Monólogo das Grandezas do Brasil
grandezas,1,Monólogo das Grandezas do Brasil
joga,1,Monólogo das Grandezas do Brasil
miséria,1,Monólogo das Grandezas do Brasil
principalmente,1,Monólogo das Grandezas do Brasil
incompleta,1,Monólogo das Grandezas do Brasil
vestibular,1,Monólogo das Grandezas do Brasil
carteira,1,Monólogo das Grandezas do Brasil
amassa,2,"Monólogo das Grandezas do Brasil, Rock Romance de Um Robô Goliardo, S.A., Seixo Rolado"
poesia,1,Monólogo das Grandezas do Brasil
limpeza,1,Monólogo das Grandezas do Brasil
nuclear,1,Monólogo das Grandezas do Brasil
parar,2,"Monólogo das Grandezas do Brasil, Notícia de Terra Civilizada"
eternamente,1,Monólogo das Grandezas do Brasil
ta,1,"A Palo Seco, Aguapé, Alucinação, Amor de Perdição, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Até Amanhã, Ate Mais Ver, Baihuno, Balada de Madame Frigidaire, Balada do Amor, Beijo Molhado, Bel Prazer, Bossa Em Palavrões, Brasileiramente Linda, Brincando Com a Vida, Canção de Gesta de Um Trovador Eletrônico, Carisma, Caso Comum de Trânsito, Clamor No Deserto, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Corpos Terrestres, Cuidar do Homem, Dandy, De Primeira Grandeza, Depois Das Seis, Divina Comédia Humana, Do Mar, do Céu, do Campo, E Que Tudo Mais Vá Para o Céu, Elegia Obscena, Em Resposta à Carta de Fã, Espacial, Extra Cool, Fotografia 3X4, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Medo de Avião, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Mucuripe, Na Hora do Almoço, Nada Como Viver, Não Leve Flores, No Maior Jazz, Notícia de Terra Civilizada, Num País Feliz, Objeto Direto, Ondas Tropicais, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Os Profissionais, Paraíso, Paraíso (1982), Paralelas, Pequeno Mapa do Tempo, Pequeno Perfil de Um Cidadão Comum, Ploft, Populus, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Se Você Tivesse Aparecido, Seixo Rolado, Senhoras do Amazonas, Sensual, Tambor Tantã, Tocando Por Música, Todo Sujo de Batom, Tudo Outra Vez, Viva La Dolcezza, Voz da América, Ypê"
faltando,1,Monólogo das Grandezas do Brasil
sossego,2,"Monólogo das Grandezas do Brasil, Voz da América"
trabalhar,2,"Monólogo das Grandezas do Brasil, Voz da América"
pensei,1,Monólogo das Grandezas do Brasil
fronteira,1,Monólogo das Grandezas do Brasil
eldorados,1,Monólogo das Grandezas do Brasil
além-mar,1,Monólogo das Grandezas do Brasil
andando,1,"Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil"
riacho,1,Monólogo das Grandezas do Brasil
fresca,2,"Monólogo das Grandezas do Brasil, Notícia de Terra Civilizada"
norte/,1,Monólogo das Grandezas do Brasil
semana,2,"Monólogo das Grandezas do Brasil, Paralelas"
sorte/,1,Monólogo das Grandezas do Brasil
porém,1,Monólogo das Grandezas do Brasil
grana/,1,Monólogo das Grandezas do Brasil
pagar,3,"Monólogo das Grandezas do Brasil, Não Leve Flores, Recitanda, Tocando Por Música"
ninho,1,Mote e Glosa
envelheceu,1,Mote e Glosa
cobra,1,Mote e Glosa
buraco,2,"Mote e Glosa, Os Profissionais, Rock Romance de Um Robô Goliardo"
morreu,2,"Mote e Glosa, Pequeno Mapa do Tempo"
velas,4,"Mucuripe, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo"
mucuripe,3,Mucuripe
pescar,3,Mucuripe
mágoas,3,Mucuripe
pras,3,Mucuripe
águas,4,"Mucuripe, Tambor Tantã"
fundas,3,Mucuripe
namorar,3,Mucuripe
casar,3,Mucuripe
calça,2,"Meu Nome é Cem, Mucuripe"
paletó,2,Mucuripe
linho,3,"Mucuripe, Os Derradeiros Moicanos"
quebrado,2,Mucuripe
franco,2,Mucuripe
vela,4,"Coração Selvagem, Mucuripe, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, Se Você Tivesse Aparecido"
leva-me,4,Mucuripe
levar,4,"Mucuripe, Rock Romance de Um Robô Goliardo, Todo Sujo de Batom"
moço,7,"Mucuripe, Na Hora do Almoço, Sujeito de Sorte"
prato,1,Na Hora do Almoço
comida,2,"Na Hora do Almoço, Rock Romance de Um Robô Goliardo"
tristeza,4,"Na Hora do Almoço, Não Leve Flores, Recitanda"
desentende,1,Na Hora do Almoço
fechada,1,Na Hora do Almoço
parada,1,Na Hora do Almoço
lacrada,1,Na Hora do Almoço
selada,1,Na Hora do Almoço
molhada,2,"Na Hora do Almoço, Sensual"
almoço,3,Na Hora do Almoço
chama,4,"Coração Selvagem, Lamento do Marginal Bem Sucedido, Na Hora do Almoço, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Tambor Tantã"
irmã,1,"Como Nossos Pais, Como Se Fosse Pecado, Na Hora do Almoço, Onde Jazz Meu Coração?, Populus, Tudo Outra Vez"
cabeleira,1,Na Hora do Almoço
avó,1,Na Hora do Almoço
reclama,1,Na Hora do Almoço
ei,4,"A Palo Seco, Aguapé, Alucinação, Amor de Perdição, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Baihuno, Balada de Madame Frigidaire, Balada do Amor, Beijo Molhado, Bel Prazer, Bossa Em Palavrões, Brasileiramente Linda, Brincando Com a Vida, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Clamor No Deserto, Comentários a Respeito de John, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Corpos Terrestres, Cuidar do Homem, Dandy, Depois Das Seis, Divina Comédia Humana, Do Mar, do Céu, do Campo, Elegia Obscena, Em Resposta à Carta de Fã, Espacial, Extra Cool, Fotografia 3X4, Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Medo de Avião, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Na Hora do Almoço, Não Leve Flores, No Maior Jazz, Num País Feliz, Objeto Direto, Ondas Tropicais, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Os Profissionais, Paraíso, Paraíso (1982), Pequeno Perfil de Um Cidadão Comum, Populus, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Seixo Rolado, Sensual, Sujeito de Sorte, Tambor Tantã, Tocando Por Música, Todo Sujo de Batom, Tudo Outra Vez, Viva La Dolcezza, Voz da América, Ypê"
deixemos,1,Na Hora do Almoço
cuidemos,1,Na Hora do Almoço
chega,1,"Arte Final, Clamor No Deserto, Cuidar do Homem, Lira dos Vinte Anos, Na Hora do Almoço, Quinhentos Anos de Quê?"
parecida,7,Na Hora do Almoço
arrasta,1,Na Hora do Almoço
visto,1,Na Hora do Almoço
aparecida,2,Na Hora do Almoço
repente,9,"Nada Como Viver, Onde Jazz Meu Coração?, Paraíso"
beleza,4,"Extra Cool, Nada Como Viver, Paraíso, Paraíso (1982), Tocando Por Música"
usa,2,"Aguapé, Apenas Um Rapaz Latino Americano, Balada de Madame Frigidaire, Balada do Amor, Beijo Molhado, Canção de Gesta de Um Trovador Eletrônico, Conheço o Meu Lugar, De Primeira Grandeza, Do Mar, do Céu, do Campo, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, Lamento do Marginal Bem Sucedido, Nada Como Viver, Rock Romance de Um Robô Goliardo, Seixo Rolado, Voz da América"
blusa,1,Nada Como Viver
tentação,1,Nada Como Viver
comover,2,Nada Como Viver
independente,1,Nada Como Viver
sente,2,"Arte Final, Conheço o Meu Lugar, Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Na Hora do Almoço, Nada Como Viver, Objeto Direto, Populus, Seixo Rolado, Sujeito de Sorte, Tambor Tantã, Todo Sujo de Batom"
sensação,2,"Nada Como Viver, Pequeno Perfil de Um Cidadão Comum"
cante,4,"Baihuno, Clamor No Deserto, Depois Das Seis, Jornal Blues (Canção Leve de Escárnio e Maldizer), Meu Nome é Cem, Não Leve Flores, Onde Jazz Meu Coração?"
cedo,2,"Lamento do Marginal Bem Sucedido, Não Leve Flores, Pequeno Perfil de Um Cidadão Comum"
cova,1,"Não Leve Flores, Paralelas"
fortes,1,Não Leve Flores
podem,1,"Elegia Obscena, Não Leve Flores"
poderia,1,Não Leve Flores
mudado,1,Não Leve Flores
levou,1,Não Leve Flores
conversas,1,Não Leve Flores
cafés,1,Não Leve Flores
abrigos,1,Não Leve Flores
caminhos,1,Não Leve Flores
sigo,1,Não Leve Flores
bebi,1,Não Leve Flores
conversei,1,Não Leve Flores
redor,1,Não Leve Flores
deixei,1,Não Leve Flores
apagar,2,"Não Leve Flores, Recitanda"
ironia,1,Não Leve Flores
falado,2,"Não Leve Flores, Tudo Outra Vez"
acontecerá,1,Não Leve Flores
agradeço,1,Não Leve Flores
residência,1,Não Leve Flores
endereço,1,Não Leve Flores
resiste,2,Não Leve Flores
insiste,2,Não Leve Flores
ouvirá,1,Não Leve Flores
verá,1,"Como Se Fosse Pecado, Dandy, Não Leve Flores, Os Derradeiros Moicanos"
mortais,2,"No Maior Jazz, Paraíso"
feita,2,"No Maior Jazz, Sensual"
rolarás,1,No Maior Jazz
sentam,1,No Maior Jazz
decidem,1,No Maior Jazz
negociações,1,No Maior Jazz
estúpidos,1,No Maior Jazz
idiotas,1,No Maior Jazz
dólares,1,No Maior Jazz
tanques,1,No Maior Jazz
mísseis,1,No Maior Jazz
agüenta,1,No Maior Jazz
cruzeiro,1,No Maior Jazz
orienta,1,No Maior Jazz
gás,1,No Maior Jazz
atrais,1,No Maior Jazz
erra,2,"Arte Final, Baihuno, Canção de Gesta de Um Trovador Eletrônico, Carisma, Coração Selvagem, Cuidar do Homem, Depois Das Seis, E Que Tudo Mais Vá Para o Céu, Espacial, Jornal Blues (Canção Leve de Escárnio e Maldizer), La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Monólogo das Grandezas do Brasil, No Maior Jazz, Notícia de Terra Civilizada, Num País Feliz, Os Derradeiros Moicanos, Os Profissionais, Pequeno Perfil de Um Cidadão Comum, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, Tambor Tantã, Ypê"
jazz,3,"No Maior Jazz, Ondas Tropicais, Onde Jazz Meu Coração?"
notícia,1,"Baihuno, Notícia de Terra Civilizada, Princesa do Meu Lugar"
civilizada,3,"Notícia de Terra Civilizada, Seixo Rolado, Senhoras do Amazonas"
entram,1,"Arte Final, Notícia de Terra Civilizada"
passarada,1,Notícia de Terra Civilizada
vencer,2,"Como Nossos Pais, Notícia de Terra Civilizada, Pequeno Perfil de Um Cidadão Comum"
bilhete,1,Notícia de Terra Civilizada
ida,1,"Alucinação, Amor e Crime, Apenas Um Rapaz Latino Americano, Ate Mais Ver, Baihuno, Balada de Madame Frigidaire, Brasileiramente Linda, Brincando Com a Vida, Canção de Gesta de Um Trovador Eletrônico, Carisma, Caso Comum de Trânsito, Comentários a Respeito de John, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Cuidar do Homem, Dandy, De Primeira Grandeza, Depois Das Seis, Divina Comédia Humana, E Que Tudo Mais Vá Para o Céu, Elegia Obscena, Em Resposta à Carta de Fã, Espacial, Fotografia 3X4, Jornal Blues (Canção Leve de Escárnio e Maldizer), La Vida Es Sueño, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Mucuripe, Na Hora do Almoço, Nada Como Viver, No Maior Jazz, Notícia de Terra Civilizada, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Os Profissionais, Paraíso, Pequeno Mapa do Tempo, Pequeno Perfil de Um Cidadão Comum, Ploft, Princesa do Meu Lugar, Recitanda, Rock Romance de Um Robô Goliardo, S.A., Tudo Outra Vez, Viva La Dolcezza, Voz da América"
fazenda,1,Notícia de Terra Civilizada
mundão,1,Notícia de Terra Civilizada
trilho,1,Notícia de Terra Civilizada
sai,2,"Arte Final, Balada de Madame Frigidaire, Bel Prazer, Comentários a Respeito de John, Extra Cool, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Mucuripe, Notícia de Terra Civilizada, Paraíso (1982), Princesa do Meu Lugar, Rock Romance de Um Robô Goliardo, Voz da América"
acreditou,1,Notícia de Terra Civilizada
desgraça,1,Notícia de Terra Civilizada
delegacia,1,Notícia de Terra Civilizada
relembra,1,Notícia de Terra Civilizada
ditado,1,Notícia de Terra Civilizada
esquecido,1,"Conheço o Meu Lugar, Notícia de Terra Civilizada, Onde Jazz Meu Coração?, Rock Romance de Um Robô Goliardo, S.A."
ganha,1,"Galos, Noites e Quintais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Notícia de Terra Civilizada"
loteria,1,Notícia de Terra Civilizada
ouvia,2,Num País Feliz
sabiá,3,"Num País Feliz, Retórica Sentimental"
jaci,1,Num País Feliz
assobiava,1,Num País Feliz
índio,2,"Num País Feliz, Os Derradeiros Moicanos, Ploft, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, S.A."
cauim,1,Num País Feliz
sentia,1,Num País Feliz
essência,2,"Num País Feliz, Seixo Rolado"
caju,1,"Num País Feliz, Princesa do Meu Lugar"
navegavam,2,Num País Feliz
naus,2,Num País Feliz
maus,1,Num País Feliz
anhanguá,1,Num País Feliz
rei,6,"A Palo Seco, Aguapé, Amor e Crime, Arte Final, Balada de Madame Frigidaire, Caso Comum de Trânsito, Cuidar do Homem, Divina Comédia Humana, Do Mar, do Céu, do Campo, Espacial, Fotografia 3X4, Jornal Blues (Canção Leve de Escárnio e Maldizer), Medo de Avião, Num País Feliz, Objeto Direto, Ondas Tropicais, Onde Jazz Meu Coração?, Os Profissionais, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, Tambor Tantã, Ypê"
uirapuru,2,"Num País Feliz, Senhoras do Amazonas"
chã,1,"Carisma, Do Mar, do Céu, do Campo, Lamento do Marginal Bem Sucedido, Num País Feliz, Populus"
tupã,1,Num País Feliz
descia,2,"Num País Feliz, Ondas Tropicais"
pam,1,"Aguapé, Num País Feliz"
tambor,2,"Num País Feliz, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Tambor Tantã"
dó,1,"Como Nossos Pais, E Que Tudo Mais Vá Para o Céu, No Maior Jazz, Num País Feliz, Os Profissionais, Voz da América"
juritis,1,Num País Feliz
paí,1,"Balada de Madame Frigidaire, Caso Comum de Trânsito, Comentários a Respeito de John, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, Num País Feliz, Onde Jazz Meu Coração?, Recitanda, Voz da América"
peso,2,"Objeto Direto, Todo Sujo de Batom"
inútil,1,Objeto Direto
humanamente,1,Objeto Direto
quebranto,1,Objeto Direto
nego,1,"Balada do Amor, No Maior Jazz, Objeto Direto"
nega,1,"Arte Final, Lamento do Marginal Bem Sucedido, Objeto Direto"
vino,1,"Apenas Um Rapaz Latino Americano, Objeto Direto"
veritas,1,Objeto Direto
gauche,1,Objeto Direto
retempera,1,Objeto Direto
pecados,1,Objeto Direto
sapato,1,Objeto Direto
